Episodio,AgenteID,Passos,Ganhou,Recompensa
1,1,233,1,-175.05
1,2,233,1,-65.7
2,1,59,1,-31.1
2,2,59,1,61.7
3,1,46,1,-21.6
3,2,46,1,65.45
4,1,34,1,-18.4
4,2,34,1,96.4
5,1,145,1,-80.55
5,2,145,1,109.2
6,1,33,1,-23.5
6,2,33,1,191.15
7,1,64,1,-16.4
7,2,64,1,183.2
8,1,52,1,-15.4
8,2,52,1,71.6
9,1,117,1,-77.9
9,2,117,1,62.35
10,1,453,1,-160.9
10,2,453,1,-242.7
11,1,59,1,-10.9
11,2,59,1,63.3
12,1,179,1,5.0
12,2,179,1,-57.1
13,1,71,1,77.7
13,2,71,1,-26.3
14,1,51,1,-10.1
14,2,51,1,173.95
15,1,69,1,-17.1
15,2,69,1,77.5
16,1,109,1,-21.1
16,2,109,1,48.7
17,1,59,1,78.9
17,2,59,1,-46.25
18,1,123,1,-22.65
18,2,123,1,52.3
19,1,54,1,-10.6
19,2,54,1,84.2
20,1,63,1,68.4
20,2,63,1,-16.5
21,1,120,1,-41.9
21,2,120,1,126.9
22,1,77,1,80.7
22,2,77,1,-27.7
23,1,55,1,-5.5
23,2,55,1,73.9
24,1,59,1,-11.1
24,2,59,1,83.7
25,1,151,1,-50.1
25,2,151,1,159.3
26,1,306,1,-136.8
26,2,306,1,-16.0
27,1,168,1,-91.8
27,2,168,1,22.85
28,1,153,1,-50.5
28,2,153,1,154.1
29,1,123,1,-37.5
29,2,123,1,57.0
30,1,500,0,-215.0
30,2,500,0,-145.4
31,1,69,1,-6.8
31,2,69,1,72.75
32,1,148,1,-30.0
32,2,148,1,139.6
33,1,209,1,-60.9
33,2,209,1,33.9
34,1,104,1,-15.6
34,2,104,1,84.0
35,1,225,1,-32.6
35,2,225,1,22.35
36,1,77,1,-18.45
36,2,77,1,156.7
37,1,115,1,-16.85
37,2,115,1,73.1
38,1,162,1,-26.6
38,2,162,1,33.6
39,1,118,1,-21.8
39,2,118,1,57.65
40,1,91,1,-19.3
40,2,91,1,50.5
41,1,90,1,-19.2
41,2,90,1,80.8
42,1,96,1,-35.3
42,2,96,1,60.0
43,1,67,1,-26.7
43,2,67,1,77.95
44,1,239,1,-34.1
44,2,239,1,45.9
45,1,48,1,-15.0
45,2,48,1,79.8
46,1,153,1,-80.5
46,2,153,1,159.2
47,1,66,1,-21.6
47,2,66,1,68.2
48,1,37,1,-13.9
48,2,37,1,80.9
49,1,127,1,-32.7
49,2,127,1,66.9
50,1,55,1,-10.7
50,2,55,1,74.1
51,1,89,1,-28.8
51,2,89,1,45.75
52,1,128,1,-43.0
52,2,128,1,46.8
53,1,61,1,-31.1
53,2,61,1,68.55
54,1,69,1,-31.9
54,2,69,1,172.5
55,1,119,1,-22.1
55,2,119,1,67.7
56,1,49,1,-9.9
56,2,49,1,69.9
57,1,86,1,-8.6
57,2,86,1,66.2
58,1,85,1,-8.7
58,2,85,1,185.75
59,1,118,1,-32.0
59,2,118,1,62.8
60,1,31,1,-8.1
60,2,31,1,76.7
61,1,80,1,-8.2
61,2,80,1,66.8
62,1,54,1,-5.4
62,2,54,1,89.2
63,1,119,1,-11.9
63,2,119,1,152.5
64,1,37,1,-3.7
64,2,37,1,96.1
65,1,40,1,-24.6
65,2,40,1,80.8
66,1,134,1,-13.6
66,2,134,1,46.05
67,1,39,1,-3.9
67,2,39,1,185.5
68,1,38,1,-3.8
68,2,38,1,85.85
69,1,159,1,-16.1
69,2,159,1,138.65
70,1,35,1,-18.5
70,2,35,1,86.1
71,1,41,1,-4.1
71,2,41,1,195.3
72,1,130,1,-43.2
72,2,130,1,61.9
73,1,50,1,-10.0
73,2,50,1,74.8
74,1,42,1,-19.2
74,2,42,1,70.4
75,1,111,1,-11.3
75,2,111,1,68.7
76,1,38,1,-13.8
76,2,38,1,75.8
77,1,47,1,-9.7
77,2,47,1,89.95
78,1,30,1,-3.0
78,2,30,1,81.8
79,1,75,1,-12.85
79,2,75,1,166.9
80,1,36,1,-13.6
80,2,36,1,86.25
81,1,37,1,-13.7
81,2,37,1,85.9
82,1,81,1,-13.1
82,2,81,1,176.55
83,1,127,1,-17.7
83,2,127,1,146.9
84,1,37,1,-8.9
84,2,37,1,80.65
85,1,80,1,-33.0
85,2,80,1,81.85
86,1,85,1,-28.4
86,2,85,1,180.9
87,1,29,1,-7.9
87,2,29,1,97.05
88,1,45,1,-14.85
88,2,45,1,175.1
89,1,28,1,-17.8
89,2,28,1,86.9
90,1,50,1,-10.0
90,2,50,1,59.8
91,1,37,1,-18.7
91,2,37,1,190.9
